,Unnamed: 0,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Value
0,0,AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,3.1
1,1,AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.3
2,2,BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.4
3,3,CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,3.8
4,4,CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.3
5,5,DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,4.5
6,6,FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.2
7,7,FRA,France,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,3.1
8,8,DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,1.4
9,9,GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,21.7
10,10,HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,3.8
11,11,ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,1.0
12,12,IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.6
13,13,ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,8.6
14,14,JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.7
15,15,KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.9
16,16,LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.2
17,17,MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,4.0
18,18,NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.5
19,19,NZL,New Zealand,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,4.5
20,20,NOR,Norway,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,2.8
21,21,POL,Poland,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,5.0
